Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,IDE
52,43,0.0191713598834866,0.0194015198821972,345,0,0,8,3F B4 04 B6 E4 FC F4 00,3D F6,0,1,1,1,0
52,44,0.0194075998820509,0.0196499198806876,385,0,0,8,00 00 00 00 00 00 00 16,1B 7F,0,1,1,1,0
52,45,0.0196559998805412,0.0198919198792168,415,0,0,8,00 0E 58 00 03 D6 01 14,7C 1D,0,1,1,1,0
52,46,0.0198979998790705,0.0201300798777694,475,0,0,8,24 2A 00 A0 05 AC 00 00,6F D4,0,1,1,1,0
52,47,0.0225680798628431,0.0228019998615309,085,0,0,8,C0 00 00 40 14 00 04 54,7C 5A,0,1,1,1,0
52,48,0.0228080798613846,0.0230401598600835,115,0,0,8,2F D0 51 70 C7 67 C4 00,7D F6,0,1,1,1,0
52,49,0.0231383198593775,0.0233743998580521,0B5,0,0,8,B1 D5 2F 00 00 00 00 10,0F FE,0,1,1,1,0
52,50,0.0233805598579053,0.0236025598566655,275,0,0,8,F4 08 64 00 E3 43 88 4C,6B 56,0,1,1,1,0
52,51,0.0251991198468531,0.025425119845589,0A5,0,0,8,78 03 72 F1 21 D3 FF 00,2F 39,0,1,1,1,0
52,52,0.0254311998454426,0.0256552798441902,0F5,0,0,8,AA 00 C7 FC 97 FF E2 4F,1D 2D,0,1,1,1,0
52,53,0.0256613598440438,0.0258952798427316,245,0,0,8,B2 F9 F3 00 C0 00 00 00,6D 59,0,1,1,1,0
52,54,0.0259014398425848,0.0261374398412598,255,0,0,8,01 FF E5 FF E7 F9 F7 FF,24 B6,0,1,1,1,0
52,55,0.0261435198411135,0.0263795998397881,285,0,0,8,1C 4F 00 00 80 00 80 00,0C D5,0,1,1,1,0
52,56,0.0263856798396418,0.0266217598383164,295,0,0,8,F0 00 78 1C 80 00 80 00,15 03,0,1,1,1,0
52,57,0.0266278398381701,0.0268618398368573,025,0,0,8,04 9B 80 00 80 00 80 24,4C F3,0,1,1,1,0
52,58,0.02686807983671,0.0270999998354099,2B5,0,0,8,80 00 74 00 F2 00 94 FA,55 DB,0,1,1,1,0
52,59,0.0271062398352626,0.0273341598339868,2E5,0,0,8,80 00 1D EC 00 C7 E2 8D,54 6B,0,1,1,1,0
52,60,0.0273402398338405,0.0275741598325282,2F5,0,0,8,20 9F 80 62 F0 00 FF FF,30 DA,0,1,1,1,0
52,61,0.0275803998323809,0.0278063998311168,305,0,0,8,0C 00 32 34 35 38 35 39,39 ED,0,1,1,1,0
52,62,0.02781255983097,0.0280465598296572,325,0,0,8,03 81 03 F3 00 00 0D FF,09 A4,0,1,1,1,0
52,63,0.0280527998295099,0.0282948798281481,358,0,0,8,00 00 00 00 00 00 78 07,6E 87,0,1,1,1,0
52,64,0.0283009598280017,0.0285289598267255,3F5,0,0,8,C0 80 B8 80 3F 21 50 22,27 92,0,1,1,1,0
52,65,0.0285350398265791,0.0287731198252416,410,0,0,8,00 80 00 01 01 00 CE 8F,3F 50,0,1,1,1,0
52,66,0.0287791198250957,0.0290051198238316,435,0,0,8,00 00 04 EA 11 00 CE 8F,2F 67,0,1,1,1,0
52,67,0.0290113598236843,0.0292412798223964,445,0,0,8,26 3E C0 34 00 00 97 47,3E 99,0,1,1,1,0
52,68,0.0325772798020125,0.0328112798006998,085,0,0,8,C0 00 00 40 14 00 04 54,7C 5A,0,1,1,1,0
52,69,0.0328173598005534,0.0330594397991916,0D5,0,0,8,00 0F FF E8 00 00 00 00,27 A3,0,1,1,1,0
52,70,0.0330654397990457,0.0332935997977685,0B5,0,0,8,B1 D5 2F 2B 00 00 00 10,2A 72,0,1,1,1,0
52,71,0.0332995997976226,0.0335255997963586,335,0,0,8,20 9F 90 EA AD 38 6B 00,3F A9,0,1,1,1,0
52,72,0.033767999794776,0.0339959197935002,095,0,0,8,07 FF 48 A0 32 F1 62 09,70 53,0,1,1,1,0
52,73,0.0340019997933538,0.0342301597920766,0C5,0,0,8,30 64 80 3F FF 58 84 32,33 07,0,1,1,1,0
52,74,0.0342361597919307,0.0344783197905684,225,0,0,8,00 00 03 FF 00 00 40 00,0A BB,0,1,1,1,0
52,75,0.0344843997904221,0.0347225597890841,235,0,0,8,3F FF EF FF 42 A3 00 00,79 F0,0,1,1,1,0
52,76,0.0347285597889382,0.0349506397876979,3A5,0,0,8,07 76 35 FF 00 90 A9 AA,76 3A,0,1,1,1,0
52,77,0.0349569597875501,0.0351929597862252,3C0,0,0,8,00 09 87 69 00 00 00 00,61 17,0,1,1,1,0
52,78,0.0365665597777678,0.0368003197764565,025,0,0,8,05 8B 80 00 80 00 80 24,1E B0,0,1,1,1,0
52,79,0.0370647997747398,0.0372987197734275,0E5,0,0,8,80 07 3C 00 F7 FF E0 00,6B 9D,0,1,1,1,0
52,80,0.0373048797732807,0.0375348797719923,105,0,0,8,98 16 2E 00 CE 02 06 C1,0F C7,0,1,1,1,0
52,81,0.0375409597718459,0.0377709597705575,205,0,0,8,3A 48 A2 05 4E 04 00 00,71 4B,0,1,1,1,0
52,82,0.0377770397704111,0.0380050397691349,215,0,0,8,AC 00 DA 02 02 4E 07 CA,56 5E,0,1,1,1,0
52,83,0.0380111197689885,0.0382551997676145,265,0,0,8,00 00 00 80 00 00 00 00,0B 81,0,1,1,1,0
52,84,0.0382611997674687,0.0384851997662167,315,0,0,8,40 8D D0 12 72 B1 D5 2F,42 E4,0,1,1,1,0
52,85,0.0384913597660699,0.0387274397647445,375,0,0,8,00 00 00 00 00 00 74 90,47 56,0,1,1,1,0
52,86,0.0387334397645986,0.0389653597632986,465,0,0,8,00 00 70 00 FC AF B0 AF,26 F4,0,1,1,1,0
52,87,0.0410299197506419,0.0412558397493782,0A5,0,0,8,78 03 72 F1 21 D3 FF 00,2F 39,0,1,1,1,0
52,88,0.0412619997492314,0.0414859997479795,0F5,0,0,8,AA 00 C7 FC 97 FF E2 4D,53 86,0,1,1,1,0
52,89,0.0414921597478326,0.0417160797465811,3C5,0,0,8,47 22 10 00 00 2A B2 B6,6F 47,0,1,1,1,0
52,90,0.0417222397464343,0.0419581597451099,2A5,0,0,8,00 00 00 00 03 D1 20 22,6C 02,0,1,1,1,0
52,91,0.0425624797413278,0.0428044797399664,385,0,0,8,00 00 00 00 00 00 00 16,1B 7F,0,1,1,1,0
